iId,created,sequence1,sequence2,sequence_ratings1,sequence_ratings2,questionnaire
9,9/12/12 16:30,"bm06,bm10,pop2","bm11,bm05,bm02","21,14,84","67,78,4",28
23,9/12/12 18:41,"bm06,bm10,pop2","bm11,bm05,bm02","5,59,28","79,37,67",32
67,9/14/12 00:25,"bm06,bm10,pop2","bm11,bm05,bm02","87,68,49","0,26,44",44
76,9/14/12 19:19,"bm06,bm10,pop2","bm11,bm05,bm02","28,91,85","60,8,0",49
88,9/16/12 20:59,"bm06,bm10,pop2","bm11,bm05,bm02","56,62,25","25,32,65",50
94,9/16/12 21:13,"bm06,bm10,pop2","bm11,bm05,bm02","96,40,19","5,43,76",51
102,9/16/12 21:22,"bm06,bm10,pop2","bm11,bm05,bm02","0,0,13","92,91,76",50
105,9/16/12 21:24,"bm06,bm10,pop2","bm11,bm05,bm02","35,41,0","61,52,88",54
112,9/16/12 21:33,"bm06,bm10,pop2","bm11,bm05,bm02","1,69,61","87,25,34",55
130,9/17/12 09:07,"bm06,bm10,pop2","bm11,bm05,bm02","74,39,24","12,54,64",58
140,9/17/12 18:23,"bm06,bm10,pop2","bm11,bm05,bm02","55,9,12","29,79,80",62
160,9/18/12 07:32,"bm06,bm10,pop2","bm11,bm05,bm02","62,24,56","27,71,41",66
170,9/18/12 11:26,"bm06,bm10,pop2","bm11,bm05,bm02","10,46,21","54,50,73",NULL
178,9/18/12 15:25,"bm06,bm10,pop2","bm11,bm05,bm02","36,68,17","49,27,80",NULL
192,9/19/12 19:45,"bm06,bm10,pop2","bm11,bm05,bm02","21,54,88","69,36,0",71
20,9/11/12 17:11,"bm06,bm10,pop2","pop1,bm05,bm02","17,46,51","60,42,42",6
24,9/11/12 18:16,"bm06,bm10,pop2","pop1,bm05,bm02","54,30,32","27,58,60",7
34,9/11/12 21:08,"bm06,bm10,pop2","pop1,bm05,bm02","31,48,9","62,45,86",8
4,9/12/12 16:07,"bm06,bm10,pop2","pop1,bm05,bm02","26,45,67","55,46,24",27
19,9/12/12 18:32,"bm06,bm10,pop2","pop1,bm05,bm02","54,29,76","85,20,59",31
29,9/12/12 19:07,"bm06,bm10,pop2","pop1,bm05,bm02","42,37,20","31,52,74",34
36,9/12/12 19:21,"bm06,bm10,pop2","pop1,bm05,bm02","42,53,76","35,40,17",35
40,9/12/12 19:24,"bm06,bm10,pop2","pop1,bm05,bm02","60,7,19","27,78,77",36
52,9/13/12 09:39,"bm06,bm10,pop2","pop1,bm05,bm02","42,7,13","29,65,76",40
63,9/14/12 00:08,"bm06,bm10,pop2","pop1,bm05,bm02","83,12,0","0,69,92",NULL
84,9/16/12 20:56,"bm06,bm10,pop2","pop1,bm05,bm02","81,62,20","20,29,74",NULL
117,9/16/12 22:15,"bm06,bm10,pop2","pop1,bm05,bm02","44,79,36","43,14,57",56
122,9/17/12 00:15,"bm06,bm10,pop2","pop1,bm05,bm02","31,65,14","61,29,81",57
146,9/17/12 22:31,"bm06,bm10,pop2","pop1,bm05,bm02","28,77,91","65,15,0",63
153,9/18/12 01:58,"bm06,bm10,pop2","pop1,bm05,bm02","71,64,40","29,53,79",65
164,9/18/12 10:49,"bm06,bm10,pop2","pop1,bm05,bm02","110,73,31","0,13,58",NULL
167,9/18/12 10:51,"bm06,bm10,pop2","pop1,bm05,bm02","61,69,57","33,21,31",NULL
174,9/18/12 15:09,"bm06,bm10,pop2","pop1,bm05,bm02","40,0,0","2,80,89",67
182,9/18/12 15:33,"bm06,bm10,pop2","pop1,bm05,bm02","56,17,37","36,71,57",68
186,9/18/12 18:26,"bm06,bm10,pop2","pop1,bm05,bm02","7,76,94","78,15,0",69
