iId,created,sequence1,sequence2,sequence_ratings1,sequence_ratings2,questionnaire
2,9/12/12 16:06,lastkid, burningman_05,98,191,27
7,9/12/12 16:28,burningman_05, lastkid,127,149,28
16,9/12/12 18:31,lastkid, burningman_05,137,151,31
21,9/12/12 18:40,lastkid, burningman_05,48,241,32
27,9/12/12 19:06,lastkid, burningman_05,41,243,34
33,9/12/12 19:19,burningman_05, lastkid,261,16,35
38,9/12/12 19:22,lastkid, burningman_05,45,551,36
44,9/12/12 22:19,lastkid, burningman_05,19,38,NULL
50,9/13/12 09:36,burningman_05, lastkid,238,39,40
56,9/13/12 18:34,lastkid, burningman_05,153,117,NULL
61,9/14/12 00:06,burningman_05, lastkid,260,17,NULL
65,9/14/12 00:23,lastkid, burningman_05,128,154,44
74,9/14/12 19:18,burningman_05, lastkid,38,240,49
82,9/16/12 20:55,lastkid, burningman_05,133,161,NULL
86,9/16/12 20:57,lastkid, burningman_05,172,95,50
92,9/16/12 21:12,lastkid, burningman_05,113,157,51
96,9/16/12 21:15,lastkid, burningman_05,110,195,52
99,9/16/12 21:21,lastkid, burningman_05,141,149,50
101,9/16/12 21:22,burningman_05, lastkid,197,97,54
110,9/16/12 21:32,lastkid, burningman_05,211,39,55
115,9/16/12 22:14,lastkid, burningman_05,156,130,56
120,9/17/12 00:14,burningman_05, lastkid,261,22,57
125,9/17/12 08:08,lastkid, burningman_05,217,72,NULL
128,9/17/12 09:04,burningman_05, lastkid,191,59,58
134,9/17/12 14:25,lastkid, burningman_05,206,144,60
138,9/17/12 18:22,burningman_05, lastkid,195,75,62
144,9/17/12 22:29,lastkid, burningman_05,239,49,63
151,9/18/12 01:57,lastkid, burningman_05,158,107,65
155,9/18/12 05:48,lastkid, burningman_05,63,154,NULL
158,9/18/12 07:31,lastkid, burningman_05,108,166,66
162,9/18/12 10:47,burningman_05, lastkid,253,45,NULL
165,9/18/12 10:49,lastkid, burningman_05,93,176,NULL
168,9/18/12 11:25,burningman_05, lastkid,70,143,NULL
172,9/18/12 15:07,burningman_05, lastkid,47,236,67
176,9/18/12 15:19,burningman_05, lastkid,79,191,NULL
180,9/18/12 15:32,burningman_05, lastkid,150,133,68
184,9/18/12 18:24,lastkid, burningman_05,183,83,69
190,9/19/12 19:43,lastkid, burningman_05,148,139,71
