iId,created,sequence1,sequence2,sequence_ratings1,sequence_ratings2,questionnaire
22,9/12/12 18:40,burningman_08, burningman_10,186,111,32
28,9/12/12 19:07,burningman_08, burningman_10,207,84,34
35,9/12/12 19:19,burningman_08, burningman_10,187,110,35
57,9/13/12 18:35,burningman_08, burningman_10,162,118,NULL
83,9/16/12 20:56,burningman_08, burningman_10,229,82,NULL
103,9/16/12 21:23,burningman_08, burningman_10,190,109,54
111,9/16/12 21:33,burningman_08, burningman_10,80,199,55
145,9/17/12 22:30,burningman_08, burningman_10,96,201,63
152,9/18/12 01:58,burningman_08, burningman_10,139,159,65
163,9/18/12 10:48,burningman_08, burningman_10,189,92,NULL
166,9/18/12 10:50,burningman_08, burningman_10,199,74,NULL
177,9/18/12 15:20,burningman_08, burningman_10,201,77,NULL
181,9/18/12 15:33,burningman_08, burningman_10,178,123,68
191,9/19/12 19:44,burningman_08, burningman_10,248,70,71
3,9/12/12 16:06,burningman_10, burningman_08,146,138,27
8,9/12/12 16:29,burningman_10, burningman_08,90,203,28
18,9/12/12 18:31,burningman_10, burningman_08,100,190,31
39,9/12/12 19:23,burningman_10, burningman_08,120,167,36
51,9/13/12 09:38,burningman_10, burningman_08,84,208,40
62,9/14/12 00:07,burningman_10, burningman_08,186,108,NULL
66,9/14/12 00:24,burningman_10, burningman_08,110,172,44
75,9/14/12 19:19,burningman_10, burningman_08,111,171,49
87,9/16/12 20:58,burningman_10, burningman_08,136,130,50
93,9/16/12 21:12,burningman_10, burningman_08,125,56,51
116,9/16/12 22:15,burningman_10, burningman_08,136,159,56
121,9/17/12 00:14,burningman_10, burningman_08,155,138,57
126,9/17/12 08:09,burningman_10, burningman_08,85,215,NULL
129,9/17/12 09:06,burningman_10, burningman_08,195,106,58
139,9/17/12 18:22,burningman_10, burningman_08,34,264,62
159,9/18/12 07:32,burningman_10, burningman_08,108,176,66
169,9/18/12 11:26,burningman_10, burningman_08,177,74,NULL
173,9/18/12 15:08,burningman_10, burningman_08,187,103,67
