iId,created,sequence1,sequence2,sequence_ratings1,sequence_ratings2,questionnaire
2,9/10/12 01:03,"69,4,130,92,82,38","138,28,90,2,68,82","11,0,0,0,0,0","19,0,0,0,0,0",NULL
17,9/11/12 17:02,"66,140,103,32,74,1","96,74,44,59,151,88","29,49,13,37,55,54","64,39,76,53,46,60",6
18,9/11/12 17:10,burningman_05, lastkid,171,108,6
19,9/11/12 17:10,burningman_10, burningman_08,139,155,6
20,9/11/12 17:11,"bm06,bm10,pop2","pop1,bm05,bm02","17,46,51","60,42,42",6
21,9/11/12 18:11,"23,14,70,133,56,89","14,51,143,81,27,20","83,24,23,10,10,0","10,67,78,75,75,88",7
22,9/11/12 18:14,burningman_05, lastkid,195,84,7
23,9/11/12 18:15,burningman_10, burningman_08,180,102,7
24,9/11/12 18:16,"bm06,bm10,pop2","pop1,bm05,bm02","54,30,32","27,58,60",7
29,9/11/12 20:06,"96,60,147,83,34,76","3,76,41,47,127,65","49,62,8,63,29,59","35,85,34,71,22,59",6
30,9/11/12 20:07,"burn1,bm10,burn3","bm02,burn2,nbh","0,28,39","91,61,46",6
31,9/11/12 21:01,"156,25,61,78,95,19","25,61,152,91,80,17","41,64,14,0,66,9","40,27,73,87,25,87",8
32,9/11/12 21:06,lastkid, burningman_05,72,206,8
33,9/11/12 21:07,burningman_10, burningman_08,128,167,8
34,9/11/12 21:08,"bm06,bm10,pop2","pop1,bm05,bm02","31,48,9","62,45,86",8
35,9/11/12 21:08,"bm13,bm08,burn3","bm02,bm09,nbh","92,16,77","0,72,13",8
36,9/11/12 23:21,"94,77,59,31,6,125","49,104,4,132,52,39","24,87,74,0,0,75","69,5,43,87,89,4",9
37,9/12/12 11:39,"73,29,86,10,63,136","101,51,42,150,88,16","17,76,24,44,35,9","71,0,64,68,54,67",10
38,9/16/12 21:11,"45,22,5,93,56,144","53,99,155,41,2,79","14,0,220,39,0,36","41,89,99,14,79,91",11
39,9/16/12 22:02,lastkid, burningman_05,96,204,NULL
1,9/12/12 16:01,"5,143,103,72,42,82","50,60,72,39,154,67","24,28,70,71,40,70","60,65,15,21,42,35",27
2,9/12/12 16:06,lastkid, burningman_05,98,191,27
3,9/12/12 16:06,burningman_10, burningman_08,146,138,27
4,9/12/12 16:07,"bm06,bm10,pop2","pop1,bm05,bm02","26,45,67","55,46,24",27
5,9/12/12 16:08,"bm13,bm08,burn3","bm02,bm09,nbh","34,15,43","59,77,42",27
6,9/12/12 16:26,"21,29,18,78,102,124","155,95,76,55,24,3","55,100,42,88,94,73","40,73,76,38,50,0",28
7,9/12/12 16:28,burningman_05, lastkid,127,149,28
8,9/12/12 16:29,burningman_10, burningman_08,90,203,28
9,9/12/12 16:30,"bm06,bm10,pop2","bm11,bm05,bm02","21,14,84","67,78,4",28
10,9/12/12 16:30,"bm13,bm08,burn3","bm02,bm09,nbh","68,0,1","18,89,76",28
11,9/12/12 16:32,"49,87,13,52,149,33","57,25,128,2,47,93","44,65,14,87,76,88","47,15,74,21,0,0",28
14,9/12/12 18:16,"69,54,150,9,37,97","9,97,59,46,142,23","16,29,48,0,8,38","69,60,51,83,36,1",30
15,9/12/12 18:27,"44,74,53,84,127,98","141,12,84,100,45,48","41,44,50,12,0,41","48,24,54,74,83,52",31
16,9/12/12 18:31,lastkid, burningman_05,137,151,31
17,9/12/12 18:31,"91,38,79,88,156,19","75,151,16,64,41,91","80,66,90,28,82,76","17,25,9,62,0,14",32
18,9/12/12 18:31,burningman_10, burningman_08,100,190,31
19,9/12/12 18:32,"bm06,bm10,pop2","pop1,bm05,bm02","54,29,76","85,20,59",31
20,9/12/12 18:33,"bm13,bm08,burn3","bm02,bm09,nbh","68,18,64","13,69,22",31
21,9/12/12 18:40,lastkid, burningman_05,48,241,32
22,9/12/12 18:40,burningman_08, burningman_10,186,111,32
23,9/12/12 18:41,"bm06,bm10,pop2","bm11,bm05,bm02","5,59,28","79,37,67",32
24,9/12/12 18:42,"77,68,28,129,86,94","62,104,86,11,28,138","29,0,0,0,0,0","1,0,0,0,0,0",33
