iId,created,sequence1,sequence2,sequence_ratings1,sequence_ratings2,questionnaire
17,9/11/12 17:02,"66,140,103,32,74,1","96,74,44,59,151,88","29,49,13,37,55,54","64,39,76,53,46,60",6
21,9/11/12 18:11,"23,14,70,133,56,89","14,51,143,81,27,20","83,24,23,10,10,0","10,67,78,75,75,88",7
29,9/11/12 20:06,"96,60,147,83,34,76","3,76,41,47,127,65","49,62,8,63,29,59","35,85,34,71,22,59",6
31,9/11/12 21:01,"156,25,61,78,95,19","25,61,152,91,80,17","41,64,14,0,66,9","40,27,73,87,25,87",8
36,9/11/12 23:21,"94,77,59,31,6,125","49,104,4,132,52,39","24,87,74,0,0,75","69,5,43,87,89,4",9
37,9/12/12 11:39,"73,29,86,10,63,136","101,51,42,150,88,16","17,76,24,44,35,9","71,0,64,68,54,67",10
38,9/16/12 21:11,"45,22,5,93,56,144","53,99,155,41,2,79","14,100,100,39,0,36","41,89,99,14,79,91",11
1,9/12/12 16:01,"5,143,103,72,42,82","50,60,72,39,154,67","24,28,70,71,40,70","60,65,15,21,42,35",27
6,9/12/12 16:26,"21,29,18,78,102,124","155,95,76,55,24,3","55,100,42,88,94,73","40,73,76,38,50,0",28
11,9/12/12 16:32,"49,87,13,52,149,33","57,25,128,2,47,93","44,65,14,87,76,88","47,15,74,21,0,0",28
14,9/12/12 18:16,"69,54,150,9,37,97","9,97,59,46,142,23","16,29,48,0,8,38","69,60,51,83,36,1",30
15,9/12/12 18:27,"44,74,53,84,127,98","141,12,84,100,45,48","41,44,50,12,0,41","48,24,54,74,83,52",31
17,9/12/12 18:31,"91,38,79,88,156,19","75,151,16,64,41,91","80,66,90,28,82,76","17,25,9,62,0,14",32
26,9/12/12 19:03,"10,132,71,58,85,90","123,80,7,89,56,34","40,45,34,31,51,42","11,8,53,67,19,44",34
32,9/12/12 19:16,"15,36,94,73,66,140","63,6,22,157,77,36","100,4,0,40,72,0","30,57,89,70,12,84",35
34,9/12/12 19:19,"86,77,11,134,26,20","94,65,129,20,83,43","58,31,61,58,26,64","32,55,26,32,70,29",36
42,9/12/12 20:46,"136,40,81,17,101,51","27,145,85,99,51,8","51,13,33,25,75,80","31,63,54,78,2,67",37
43,9/12/12 21:40,"96,88,35,71,4,146","30,74,135,47,104,14","10,28,87,79,52,23","82,58,14,15,49,56",38
45,9/12/12 23:42,"69,103,32,137,3,52","93,75,133,32,63,5","100,37,36,14,2,48","0,87,36,86,53,79",NULL
46,9/13/12 00:10,"4,81,35,153,104,51","51,17,81,27,133,101","61,63,62,50,8,42","12,46,23,54,56,62",39
47,9/13/12 04:07,"90,15,57,131,31,76","22,89,83,31,139,15","35,64,0,2,14,0","46,1,27,31,0,0",NULL
48,9/13/12 07:49,"144,2,96,54,50,42","8,78,67,158,24,64","63,13,60,78,87,18","25,69,78,15,12,31",NULL
