vpId,seqs,ratings,count,sum,avgRatings,max,ratios,countRatios,sumRatios,avgRatios,maxRatios,,vpId,,avgRatios
1,"[[66, 140, 103, 32, 74, 1], [53, 1, 28, 79, 100, 152], [125, 73, 53, 1, 87, 41], [155, 72, 1, 67, 56, 43], [23, 1, 100, 139, 49, 52]]","[54, 22, 37, 87, 40]",5,240,48,87,"[0.47368421052631576, 0.23655913978494625, 0.42528735632183906, 1.0, 0.40816326530612246]",5,2.543693972,0.508738794,1,,1,50.87387944,0.508738794
2,"[[53, 99, 155, 41, 2, 79], [57, 25, 128, 2, 47, 93], [144, 2, 96, 54, 50, 42], [27, 2, 82, 75, 137, 102]]","[79, 21, 13, 79]",4,192,48,79,"[1.0, 0.19444444444444445, 0.15853658536585366, 0.8586956521739131]",4,2.211676682,0.55291917,1,,2,55.29191705,0.55291917
3,"[[3, 76, 41, 47, 127, 65], [155, 95, 76, 55, 24, 3], [85, 3, 30, 154, 60, 90], [3, 64, 73, 90, 24, 128]]","[35, 0, 51, 0]",4,86,21.5,51,"[0.4166666666666667, 0.0, 0.5257731958762887, 0.0]",4,0.942439863,0.235609966,0.525773196,,3,23.56099656,0.235609966
4,"[[49, 104, 4, 132, 52, 39], [96, 88, 35, 71, 4, 146], [4, 81, 35, 153, 104, 51], [76, 23, 55, 152, 4, 90], [43, 103, 4, 70, 158, 53]]","[43, 52, 61, 54, 38]",5,248,49.6,61,"[0.36752136752136755, 0.5148514851485149, 0.8356164383561644, 0.7297297297297297, 0.5352112676056338]",5,2.982930288,0.596586058,0.835616438,,4,59.65860577,0.596586058
5,"[[5, 143, 103, 72, 42, 82], [63, 140, 40, 88, 5, 69], [32, 92, 61, 145, 5, 49], [20, 38, 65, 5, 158, 89]]","[24, 86, 30, 37]",4,177,44.25,86,"[0.2857142857142857, 1.0, 0.35294117647058826, 0.3425925925925926]",4,1.981248055,0.495312014,1,,5,49.53120137,0.495312014
6,"[[94, 77, 59, 31, 6, 125], [46, 39, 6, 58, 122, 79], [152, 86, 6, 81, 98, 28]]","[0, 84, 68]",3,152,50.66666667,84,"[0.0, 0.7636363636363637, 0.723404255319149]",3,1.487040619,0.495680206,0.763636364,,6,49.56802063,0.495680206
7,"[[123, 80, 7, 89, 56, 34], [146, 47, 7, 71, 60, 44]]","[53, 18]",2,71,35.5,53,"[0.6091954022988506, 0.24]",2,0.849195402,0.424597701,0.609195402,,7,42.45977011,0.424597701
8,"[[8, 78, 67, 158, 24, 64], [42, 102, 62, 74, 8, 156], [78, 8, 93, 61, 143, 41], [60, 78, 8, 93, 30, 138]]","[25, 28, 44, 5]",4,102,25.5,44,"[0.2840909090909091, 0.24347826086956523, 0.4835164835164835, 0.06578947368421052]",4,1.076875127,0.269218782,0.483516484,,8,26.92187818,0.269218782
9,"[[9, 97, 59, 46, 142, 23], [69, 54, 150, 9, 37, 97], [9, 98, 29, 72, 59, 135], [37, 9, 134, 65, 76, 89], [9, 57, 149, 73, 44, 104], [76, 104, 35, 9, 132, 56]]","[69, 0, 32, 50, 37, 92]",6,280,46.66666667,92,"[0.8117647058823529, 0.0, 0.41025641025641024, 0.5555555555555556, 0.37755102040816324, 0.8440366972477065]",6,2.999164389,0.499860732,0.844036697,,9,49.98607316,0.499860732
10,"[[73, 29, 86, 10, 63, 136], [103, 23, 134, 10, 80, 59], [19, 73, 50, 96, 10, 148], [77, 10, 44, 50, 129, 93]]","[44, 0, 0, 50]",4,94,23.5,50,"[0.39285714285714285, 0.0, 0.0, 0.5102040816326531]",4,0.903061224,0.225765306,0.510204082,,10,22.57653061,0.225765306
11,"[[86, 77, 11, 134, 26, 20], [11, 21, 92, 122, 25, 62], [139, 46, 52, 45, 11, 74]]","[61, 41, 69]",3,171,57,69,"[0.7011494252873564, 0.47126436781609193, 0.75]",3,1.922413793,0.640804598,0.75,,11,64.08045977,0.640804598
12,"[[87, 143, 58, 26, 68, 12], [68, 31, 12, 69, 136, 84]]","[40, 13]",2,53,26.5,40,"[0.3669724770642202, 0.13]",2,0.496972477,0.248486239,0.366972477,,12,24.84862385,0.248486239
13,"[[49, 87, 13, 52, 149, 33], [13, 102, 30, 19, 147, 65], [95, 13, 49, 66, 34, 147], [101, 83, 36, 127, 52, 13], [130, 47, 22, 102, 40, 13]]","[14, 93, 24, 89, 2]",5,222,44.4,93,"[0.1590909090909091, 1.0, 0.24242424242424243, 1.0, 0.02127659574468085]",5,2.422791747,0.484558349,1,,13,48.45583495,0.484558349
14,"[[14, 51, 143, 81, 27, 20], [23, 14, 70, 133, 56, 89], [30, 74, 135, 47, 104, 14], [80, 99, 121, 48, 33, 14], [14, 37, 20, 104, 80, 138], [21, 140, 83, 65, 14, 26]]","[10, 24, 56, 62, 28, 16]",6,196,32.66666667,62,"[0.10752688172043011, 0.26373626373626374, 0.7088607594936709, 0.6888888888888889, 0.29473684210526313, 0.18181818181818182]",6,2.245567818,0.374261303,0.708860759,,14,37.4261303,0.374261303
15,"[[66, 15, 126, 30, 85, 68], [15, 63, 154, 99, 29, 76], [27, 15, 70, 58, 101, 151], [131, 58, 97, 15, 82, 39]]","[0, 71, 41, 6]",4,118,29.5,71,"[0.0, 0.9861111111111112, 0.47674418604651164, 0.0625]",4,1.525355297,0.381338824,0.986111111,,15,38.13388243,0.381338824
16,"[[101, 51, 42, 150, 88, 16], [75, 151, 16, 64, 41, 91], [46, 45, 56, 86, 148, 16], [71, 95, 130, 16, 43, 54], [135, 16, 84, 95, 26, 58], [31, 95, 64, 16, 137, 87]]","[67, 9, 37, 45, 65, 44]",6,267,44.5,67,"[0.881578947368421, 0.09090909090909091, 0.3627450980392157, 0.4891304347826087, 0.6701030927835051, 0.4036697247706422]",6,2.898136389,0.483022731,0.881578947,,16,48.30227314,0.483022731
17,"[[25, 61, 152, 91, 80, 17], [136, 40, 81, 17, 101, 51], [51, 17, 81, 27, 133, 101], [37, 136, 17, 77, 84, 52], [156, 60, 99, 17, 75, 42]]","[87, 25, 46, 41, 90]",5,289,57.8,90,"[0.90625, 0.24271844660194175, 0.42201834862385323, 0.422680412371134, 1.0]",5,2.993667208,0.598733442,1,,17,59.87334415,0.598733442
18,"[[21, 29, 18, 78, 102, 124], [98, 126, 43, 82, 18, 55], [59, 100, 152, 18, 87, 45], [25, 85, 19, 18, 122, 90], [126, 67, 41, 18, 100, 85], [30, 87, 141, 100, 18, 54]]","[42, 44, 88, 12, 42, 76]",6,304,50.66666667,88,"[0.3559322033898305, 0.37606837606837606, 1.0, 0.15789473684210525, 0.3684210526315789, 0.8172043010752689]",6,3.07552067,0.512586778,1,,18,51.25867783,0.512586778
19,"[[156, 25, 61, 78, 95, 19], [91, 38, 79, 88, 156, 19], [19, 73, 50, 96, 10, 148], [82, 19, 56, 97, 34, 125], [25, 85, 19, 18, 122, 90]]","[9, 76, 68, 75, 84]",5,312,62.4,84,"[0.09375, 0.8444444444444444, 0.7906976744186046, 0.8522727272727273, 0.7433628318584071]",5,3.324527678,0.664905536,0.852272727,,19,66.49055356,0.664905536
20,"[[14, 51, 143, 81, 27, 20], [94, 65, 129, 20, 83, 43], [86, 77, 11, 134, 26, 20], [3, 154, 89, 61, 20, 23], [14, 37, 20, 104, 80, 138], [5, 31, 77, 20, 83, 123], [20, 38, 65, 5, 158, 89]]","[88, 32, 64, 20, 0, 69, 27]",7,300,42.85714286,88,"[1.0, 0.35555555555555557, 0.6881720430107527, 0.2702702702702703, 0.0, 0.7263157894736842, 0.3253012048192771]",7,3.365614863,0.480802123,1,,20,48.08021233,0.480802123
21,"[[21, 29, 18, 78, 102, 124], [11, 21, 92, 122, 25, 62]]","[55, 38]",2,93,46.5,55,"[0.5789473684210527, 0.42696629213483145]",2,1.005913661,0.50295683,0.578947368,,21,50.29568303,0.50295683
22,"[[63, 6, 22, 157, 77, 36], [22, 89, 83, 31, 139, 15], [157, 29, 66, 85, 22, 74], [130, 47, 22, 102, 40, 13]]","[89, 46, 48, 97]",4,280,70,97,"[1.0, 0.5679012345679012, 0.46601941747572817, 1.0]",4,3.033920652,0.758480163,1,,22,75.8480163,0.758480163
