idx,seq1_1,seq1_2,seq1_3,seq1_4,seq1_5,seq1_6,seq2_1,seq2_2,seq2_3,seq2_4,seq2_5,seq2_6
1,1,20,25,49,55,72,21,2,50,26,73,56
2,3,22,27,51,57,74,23,4,52,28,75,58
3,5,24,29,53,59,76,30,6,54,60,77,89
4,7,31,61,78,90,97,32,8,79,62,98,91
5,9,33,63,80,92,99,34,10,81,64,100,93
6,11,35,65,82,94,101,36,12,83,66,102,95
7,13,37,67,84,96,103,38,14,85,68,104,114
8,15,39,69,86,105,115,40,16,87,70,116,106
9,17,41,71,88,107,117,42,18,108,118,131,170
10,19,43,109,119,132,171,44,110,120,133,172,1
11,45,111,121,134,173,2,112,46,135,122,3,174
12,47,113,123,136,175,4,124,48,137,176,5,20
13,125,138,177,6,21,25,139,126,7,178,26,22
14,127,140,179,8,23,27,141,128,9,180,28,24
15,129,142,181,10,29,49,143,130,11,182,50,30
16,144,183,12,31,51,55,184,145,32,13,56,52
17,146,185,14,33,53,57,186,147,34,15,58,54
18,148,187,16,35,59,72,188,149,36,17,73,60
19,150,189,18,37,61,74,190,151,38,19,75,62
20,152,191,39,63,76,89,192,153,64,40,90,77
21,154,193,41,65,78,91,194,155,66,42,92,79
22,156,195,43,67,80,93,196,157,68,44,94,81
23,158,197,45,69,82,95,198,159,70,46,96,83
24,160,199,47,71,84,97,200,161,85,48,98,114
25,162,201,86,99,115,1,202,163,100,87,2,116
26,164,203,88,101,117,3,204,165,102,118,4,20
27,166,205,103,119,5,21,206,167,120,104,22,6
28,168,207,105,121,7,23,208,169,122,106,24,8
29,209,107,123,131,9,25,108,210,132,124,26,10
30,211,109,125,133,11,27,110,212,134,126,28,12
31,213,111,127,135,13,29,112,214,136,128,30,14
32,215,113,129,137,15,31,130,216,138,16,32,49
33,217,139,17,33,50,55,140,218,34,18,56,51
34,219,141,19,35,52,57,142,220,36,53,58,72
35,221,143,37,54,59,73,144,222,60,38,74,75
36,223,145,39,61,76,89,146,224,62,40,90,77
37,225,147,41,63,78,91,148,226,64,42,92,79
38,227,149,43,65,80,93,150,228,66,44,94,81
39,229,151,45,67,82,95,152,230,68,46,96,83
40,231,153,47,69,84,97,154,232,70,48,98,85
41,233,155,71,86,99,114,156,234,87,100,115,1
42,235,157,88,101,116,2,158,236,102,117,3,20
43,159,170,103,118,4,21,171,160,119,104,22,5
44,161,172,105,120,6,23,173,162,121,106,24,7
45,163,174,107,122,8,25,175,164,123,108,26,9
46,165,176,109,124,10,27,177,166,125,110,28,11
47,167,178,111,126,12,29,179,168,127,112,30,13
48,169,180,113,128,14,31,181,129,131,15,32,49
49,182,130,132,16,33,50,133,183,17,34,51,55
50,184,134,18,35,52,56,135,185,36,19,57,53
51,186,136,37,54,58,72,137,187,59,38,73,75
52,188,138,39,60,74,76,139,189,61,40,77,89
53,190,140,41,62,78,90,141,191,63,42,91,79
54,192,142,43,64,80,92,143,193,65,44,93,81
55,194,144,45,66,82,94,145,195,67,46,95,83
56,196,146,47,68,84,96,147,197,69,48,97,85
57,198,148,70,86,98,114,149,199,87,71,115,99
58,200,150,88,100,116,1,151,201,101,117,2,20
59,202,152,102,118,3,21,153,203,119,103,22,4
60,204,154,104,120,5,23,155,205,121,105,24,6
61,206,156,106,122,7,25,157,207,123,107,26,8
62,208,158,108,124,9,27,159,209,125,109,28,10
63,210,160,110,126,11,29,161,211,127,111,30,12
64,212,162,112,128,13,31,163,213,129,113,32,14
65,214,164,130,15,33,49,165,215,16,34,50,55
66,216,166,17,35,51,56,167,217,36,18,57,52
67,218,168,19,37,53,58,169,219,38,54,59,72
68,220,131,39,60,73,75,132,221,61,40,76,74
69,222,133,41,62,77,89,134,223,63,42,90,78
70,224,135,43,64,79,91,136,225,65,44,92,80
71,226,137,45,66,81,93,138,227,67,46,94,82
72,228,139,47,68,83,95,140,229,69,48,96,84
73,230,141,70,85,97,114,142,231,86,71,115,98
74,232,143,87,99,116,1,144,233,100,88,2,117
75,234,145,101,118,3,20,146,235,119,102,21,4
76,236,147,103,120,5,22,148,170,121,104,23,6
77,171,149,105,122,7,24,150,172,123,106,25,8
78,173,151,107,124,9,26,152,174,125,108,27,10
79,175,153,109,126,11,28,154,176,127,110,29,12
80,177,155,111,128,13,30,156,178,129,112,31,14
81,179,157,113,130,15,32,158,180,16,33,49,55
82,181,159,17,34,50,56,160,182,35,18,57,51
83,183,161,19,36,52,58,162,184,37,53,59,72
84,185,163,38,54,60,73,164,186,61,39,74,75
85,187,165,40,62,76,89,166,188,63,41,90,77
86,189,167,42,64,78,91,168,190,65,43,92,79
87,191,169,44,66,80,93,131,192,67,45,94,81
88,193,132,46,68,82,95,133,194,69,47,96,83
89,195,134,48,70,84,97,135,196,71,85,98,114
90,197,136,86,99,115,1,137,198,100,87,2,116
91,199,138,88,101,117,3,139,200,102,118,4,20
92,201,140,103,119,5,21,141,202,120,104,22,6
93,203,142,105,121,7,23,143,204,122,106,24,8
94,205,144,107,123,9,25,145,206,124,108,26,10
95,207,146,109,125,11,27,147,208,126,110,28,12
96,209,148,111,127,13,29,149,210,128,112,30,14
97,211,150,113,129,15,31,151,212,130,16,32,49
98,213,152,17,33,50,55,153,214,34,18,56,51
99,215,154,19,35,52,57,155,216,36,53,58,72
100,217,156,37,54,59,73,157,218,60,38,74,75
