idx,seq1_1,seq1_2,seq1_3,seq1_4,seq1_5,seq1_6,seq2_1,seq2_2,seq2_3,seq2_4,seq2_5,seq2_6
1,103,21,206,48,34,12,156,79,37,219,96,113
2,116,1,181,133,35,46,54,210,69,16,128,25
3,71,205,129,107,56,42,17,132,208,82,115,65
4,154,119,3,165,91,31,214,80,110,88,19,60
5,114,93,152,50,2,40,194,81,38,109,149,51
6,59,13,92,157,217,111,153,189,61,94,24,83
7,43,151,108,67,87,55,112,26,49,134,197,76
8,127,160,90,120,53,29,118,47,141,78,41,213
9,74,66,4,159,30,137,85,117,202,126,62,9
10,100,70,106,211,6,143,121,63,10,97,32,209
11,73,23,204,15,101,52,39,57,135,68,207,14
12,122,105,72,28,203,98,8,161,44,102,144,84
13,36,18,139,170,99,86,150,58,193,27,20,95
14,104,45,130,182,75,7,64,77,177,155,89,22
15,145,5,31,198,47,56,168,33,83,125,11,113
16,76,174,106,35,102,147,55,131,8,116,27,169
17,36,67,200,75,142,120,46,65,123,103,191,72
18,140,164,108,12,37,52,195,158,60,77,101,6
19,68,22,146,50,38,218,84,32,184,20,57,124
20,112,10,187,136,86,71,41,90,148,173,54,4
21,150,118,99,212,28,18,39,79,5,138,89,223
22,110,104,82,190,45,137,43,145,48,69,15,180
23,201,95,117,88,3,26,23,115,61,94,171,14
24,125,49,162,74,107,11,33,155,16,66,97,175
25,73,149,87,98,221,19,96,21,199,141,9,42
26,64,24,105,186,124,91,78,17,142,85,183,62
27,224,157,58,114,40,2,147,172,1,63,109,92
28,129,44,53,13,196,111,188,121,25,59,81,100
29,119,215,93,139,80,34,51,126,30,7,97,185
30,70,220,11,40,131,55,29,128,106,22,178,48
31,54,3,116,21,122,176,28,95,15,107,167,133
32,101,37,192,19,144,59,49,20,143,63,163,5
33,57,136,222,24,47,103,77,179,123,62,99,120
34,80,216,38,127,12,60,85,148,91,166,81,18
35,105,32,83,180,14,146,70,7,118,140,29,163
36,117,64,102,135,42,215,89,26,75,175,52,152
37,44,78,132,53,17,203,98,1,165,115,50,153
38,25,151,74,6,200,113,79,181,114,43,156,65
39,176,130,69,94,4,30,158,202,45,110,68,84
40,71,154,58,184,111,104,56,208,82,138,33,16
41,61,109,125,160,87,96,93,86,190,134,67,23
42,174,36,143,2,72,108,135,90,41,112,66,178
43,148,10,35,46,92,168,223,88,51,73,137,31
44,133,39,100,19,170,8,185,76,13,27,139,119
45,153,15,192,113,34,104,172,80,151,25,9,62
46,44,2,67,134,187,79,102,88,117,221,136,30
47,198,95,82,123,57,75,145,51,10,169,71,89
48,16,63,157,222,47,78,48,72,213,141,32,85
49,195,147,3,100,69,119,128,218,109,7,28,96
50,56,106,182,35,49,158,24,21,129,74,98,207
51,77,146,46,91,115,188,107,162,9,36,83,127
52,42,73,173,105,132,64,103,110,150,34,217,22
53,101,193,122,60,8,108,39,154,186,112,90,1
54,76,199,86,149,40,99,50,140,29,209,17,65
55,52,159,130,11,84,23,27,156,212,68,4,97
56,66,205,41,126,70,18,13,121,58,220,45,92
57,59,167,116,33,93,144,38,124,81,55,87,214
58,26,20,118,54,138,179,120,5,53,31,161,152
59,142,191,43,61,6,114,197,131,94,12,111,37
60,38,14,210,94,127,77,87,69,155,15,171,65
61,109,70,126,35,85,201,19,105,177,16,42,142
62,111,164,57,101,154,41,39,155,68,107,206,96
63,56,30,216,89,143,88,28,108,148,73,224,9
64,124,18,116,103,75,189,194,110,92,84,31,141
65,204,82,74,151,64,120,147,90,112,211,5,43
66,20,46,196,29,158,6,72,22,130,67,166,95
67,1,80,123,219,97,33,119,36,183,138,49,14
68,131,45,113,93,200,83,197,11,100,21,135,76
69,122,191,71,115,91,26,183,145,40,8,62,114
70,48,24,208,7,156,102,34,78,150,106,224,10
71,210,47,140,17,59,37,129,118,199,81,27,58
72,167,44,53,86,13,136,157,60,117,2,104,170
73,25,166,98,50,12,125,3,128,55,32,79,218
74,63,99,187,1,144,23,4,66,121,29,217,97
75,133,80,51,168,47,114,159,68,74,137,54,45
76,149,164,24,3,61,49,162,139,83,76,5,52
77,55,104,105,182,12,132,42,6,57,146,117,161
78,38,72,106,211,92,134,78,48,87,152,2,223
79,26,206,18,95,133,59,11,153,69,60,173,115
80,121,82,207,73,102,116,203,63,124,16,32,67
81,41,54,205,98,77,134,118,8,132,40,85,174
82,37,14,156,46,56,186,84,21,220,44,101,141
83,96,81,111,204,130,23,20,53,93,150,195,88
84,86,36,213,109,122,90,34,89,135,79,184,19
85,119,94,180,15,35,153,62,17,157,108,91,160
86,113,185,65,71,147,33,99,146,110,50,178,7
87,100,143,30,172,70,13,64,163,103,154,31,112
88,151,22,28,169,120,51,175,52,4,131,75,25
89,66,176,10,39,107,138,27,149,89,9,61,209
90,63,75,120,222,43,145,112,87,13,127,58,189
91,38,57,139,119,188,5,11,22,212,34,125,64
92,80,30,129,190,91,9,27,54,171,148,7,98
93,215,42,97,58,144,18,152,69,3,32,214,113
94,142,193,96,47,67,2,202,123,10,109,44,94
95,72,60,84,198,29,128,85,70,51,140,92,216
96,201,25,93,107,78,155,136,48,79,12,104,179
97,76,23,137,83,192,99,20,15,221,33,158,65
98,117,124,39,77,1,181,103,219,88,26,62,126
99,28,82,73,165,114,147,102,50,17,141,37,196
100,118,59,149,68,194,101,61,24,177,71,133,105
