idx,seq1_1,seq1_2,seq1_3,seq1_4,seq1_5,seq1_6,seq2_1,seq2_2,seq2_3,seq2_4,seq2_5,seq2_6
1,106,64,50,151,127,221,211,163,112,8,34,80
2,3,143,200,62,43,87,52,79,141,121,203,24
3,209,75,4,51,95,48,30,14,187,116,161,90
4,216,135,101,91,23,60,57,78,46,225,105,131
5,124,136,206,32,72,59,223,115,137,94,31,99
6,15,175,167,73,38,92,158,41,9,130,65,226
7,230,166,77,35,125,102,82,213,148,71,20,7
8,133,205,70,117,16,108,86,13,111,165,89,74
9,49,107,37,214,140,55,217,132,81,39,12,119
10,120,219,67,25,147,97,69,123,155,176,76,10
11,171,44,54,85,110,93,126,138,195,26,11,63
12,179,98,84,21,145,29,149,191,42,1,53,88
13,118,189,160,96,36,22,199,104,47,146,56,129
14,231,61,103,153,19,128,100,173,18,45,169,66
15,184,157,40,113,17,58,150,83,109,194,27,114
16,182,122,28,6,154,68,162,186,5,33,107,53
17,224,168,2,80,21,65,144,218,79,72,2,122
18,212,142,8,47,68,112,159,170,41,64,110,128
19,188,139,106,88,61,92,152,208,43,7,102,22
20,232,164,76,60,127,24,156,202,115,44,99,49
21,177,134,12,51,91,20,148,183,23,111,25,96
22,236,94,82,74,145,59,130,235,55,26,50,150
23,229,135,113,1,114,31,144,196,70,73,45,14
24,192,147,40,97,126,75,166,207,124,29,104,63
25,227,162,54,32,56,81,42,197,151,109,116,71
26,210,17,139,119,30,69,62,174,108,77,120,19
27,180,136,58,117,83,103,158,234,27,3,95,86
28,198,164,46,52,121,10,18,181,137,85,90,39
29,178,168,57,28,15,123,66,204,118,163,35,5
30,201,34,6,156,78,125,157,172,105,129,9,87
31,193,16,134,93,67,48,152,190,37,4,98,89
32,228,165,101,13,36,84,161,185,33,100,11,94
33,220,142,38,6,125,75,143,215,23,114,81,101
34,222,155,80,49,120,20,146,233,61,24,78,51
35,203,149,33,110,70,85,167,188,92,71,54,115
36,230,132,67,1,95,109,169,196,28,56,53,3
37,171,140,22,32,128,86,160,187,52,103,57,96
38,208,159,15,48,59,124,131,185,44,72,111,7
39,225,138,37,127,77,55,141,197,4,73,117,93
40,176,153,68,25,102,19,154,227,43,105,76,122
41,206,133,16,123,41,58,161,172,98,18,65,74
42,190,146,63,39,91,14,8,181,133,100,87,38
43,193,160,62,31,2,89,35,222,50,137,82,12
44,173,153,84,21,97,60,47,214,157,9,66,107
45,236,141,112,45,79,116,151,192,121,113,13,46
46,186,155,17,126,36,90,42,219,150,10,69,118
47,226,143,130,64,99,88,83,210,26,104,147,129
48,215,40,149,106,119,5,152,194,34,11,108,80
49,170,140,27,9,128,97,166,232,124,29,64,86
50,199,144,30,82,105,12,156,211,6,59,129,107
51,217,138,118,50,72,81,167,182,1,114,40,20
52,209,145,67,52,103,44,159,234,108,83,92,121
53,195,162,69,119,42,94,132,224,101,33,70,17
54,207,158,99,37,79,5,136,223,123,21,111,75
55,184,139,78,71,34,22,164,235,25,87,122,18
56,198,142,51,73,45,19,135,231,58,29,14,74
57,216,169,26,126,8,76,165,191,49,27,62,110
58,229,154,95,104,57,116,148,205,77,89,43,54
59,180,168,10,61,85,39,134,212,68,46,130,90
60,228,131,120,48,4,63,163,221,112,11,36,88
61,233,32,151,117,66,23,162,179,127,15,53,38
62,220,152,98,47,24,60,148,202,55,106,91,41
63,213,132,2,102,84,96,143,218,100,93,13,30
64,201,164,113,3,125,56,31,189,139,65,7,115
65,200,144,109,35,16,57,131,174,28,126,103,15
66,178,169,46,22,118,82,147,177,4,37,95,102
67,183,159,60,14,94,116,136,204,24,29,88,109
68,175,155,90,53,125,43,153,189,30,17,73,84
69,176,138,2,112,31,51,166,214,121,36,11,72
70,197,135,28,75,68,1,149,226,107,41,16,120
71,181,157,80,50,106,93,161,180,23,85,124,61
72,213,168,130,18,63,100,160,217,71,110,114,34
73,204,163,54,8,20,78,142,205,81,21,74,10
74,222,137,25,67,122,52,141,184,127,13,69,77
75,231,158,45,105,83,12,146,172,6,87,117,113
76,200,156,9,65,40,111,150,220,49,101,129,64
77,233,165,70,119,35,99,154,235,42,92,59,19
78,183,140,38,3,91,123,167,227,7,86,39,89
79,223,145,104,44,56,115,133,195,5,66,27,98
80,230,134,48,79,58,108,26,212,159,62,128,76
81,177,47,142,97,55,96,137,232,32,81,8,126
82,186,132,33,127,87,56,148,182,74,15,71,128
83,198,141,54,95,27,64,162,203,12,41,59,93
84,221,163,85,23,73,29,144,188,21,58,91,76
85,210,140,109,39,3,49,134,190,22,92,61,1
86,236,167,96,66,115,47,153,193,16,104,60,118
87,202,157,37,100,117,65,158,194,79,6,31,123
88,173,151,125,28,86,11,149,178,35,97,90,121
89,187,146,122,103,62,36,145,225,2,78,24,106
90,219,138,25,84,13,111,160,185,99,116,88,4
91,229,169,52,44,113,119,154,175,7,83,130,38
92,199,147,69,33,5,108,131,174,43,14,82,72
93,207,139,50,102,40,89,166,234,80,53,19,45
94,191,168,10,105,75,63,143,208,77,114,98,26
95,211,133,51,124,68,107,135,224,112,34,9,20
96,216,164,46,55,17,129,136,218,101,42,120,57
97,196,161,110,67,18,94,155,201,30,13,70,54
98,209,165,48,89,77,20,150,206,18,32,102,116
99,228,152,24,75,3,99,156,171,76,66,98,53
100,179,166,28,128,88,7,136,170,61,113,34,91
