idx,seq1_1,seq1_2,seq1_3,seq1_4,seq1_5,seq1_6,seq2_1,seq2_2,seq2_3,seq2_4,seq2_5,seq2_6
1,"(6, '1')","(223, '12')","(23, '3')","(89, '9')","(150, '11')","(111, '10')","(86, '8')","(72, '7')","(112, '10')","(153, '11')","(217, '12')","(91, '9')"
2,"(63, '5')","(67, '6')","(93, '9')","(83, '8')","(183, '12')","(74, '7')","(174, '12')","(40, '3')","(108, '10')","(104, '9')","(54, '5')","(133, '11')"
3,"(88, '8')","(39, '3')","(132, '11')","(170, '12')","(101, '9')","(59, '5')","(69, '7')","(118, '10')","(194, '12')","(52, '5')","(142, '11')","(12, '1')"
4,"(47, '4')","(8, '1')","(53, '5')","(121, '11')","(171, '12')","(70, '7')","(144, '11')","(186, '12')","(119, '10')","(66, '5')","(76, '7')","(38, '3')"
5,"(41, '3')","(99, '9')","(68, '6')","(105, '10')","(204, '12')","(49, '4')","(147, '11')","(221, '12')","(107, '10')","(51, '5')","(11, '1')","(97, '9')"
6,"(114, '10')","(184, '12')","(42, '3')","(96, '9')","(154, '11')","(56, '5')","(102, '9')","(48, '4')","(15, '1')","(32, '3')","(196, '12')","(123, '11')"
7,"(22, '2')","(55, '5')","(210, '12')","(28, '3')","(138, '11')","(7, '1')","(113, '10')","(103, '9')","(157, '11')","(78, '7')","(177, '12')","(21, '2')"
8,"(169, '12')","(20, '2')","(82, '8')","(61, '5')","(129, '11')","(14, '1')","(34, '3')","(90, '9')","(19, '2')","(117, '10')","(201, '12')","(122, '11')"
9,"(197, '12')","(87, '8')","(100, '9')","(50, '4')","(115, '10')","(2, '1')","(35, '3')","(131, '11')","(3, '1')","(65, '5')","(189, '12')","(80, '7')"
10,"(106, '10')","(75, '7')","(37, '3')","(1, '1')","(199, '12')","(125, '11')","(143, '11')","(208, '12')","(60, '5')","(29, '3')","(110, '10')","(84, '8')"
11,"(164, '12')","(116, '10')","(64, '5')","(148, '11')","(30, '3')","(5, '1')","(145, '11')","(79, '7')","(109, '10')","(202, '12')","(10, '1')","(36, '3')"
12,"(95, '9')","(33, '3')","(224, '12')","(73, '7')","(46, '4')","(16, '1')","(13, '1')","(167, '12')","(124, '11')","(31, '3')","(58, '5')","(94, '9')"
13,"(146, '11')","(18, '1')","(62, '5')","(27, '3')","(159, '12')","(85, '8')","(178, '12')","(57, '5')","(130, '11')","(120, '10')","(98, '9')","(24, '3')"
14,"(4, '1')","(45, '3')","(176, '12')","(77, '7')","(97, '9')","(137, '11')","(193, '12')","(17, '1')","(149, '11')","(43, '3')","(81, '7')","(92, '9')"
15,"(9, '1')","(135, '11')","(216, '12')","(71, '7')","(25, '3')","(112, '10')","(52, '5')","(187, '12')","(134, '11')","(26, '3')","(100, '9')","(18, '1')"
16,"(12, '1')","(44, '3')","(155, '11')","(89, '9')","(214, '12')","(50, '4')","(91, '9')","(71, '7')","(212, '12')","(82, '8')","(158, '11')","(16, '1')"
17,"(152, '11')","(19, '2')","(160, '12')","(72, '7')","(105, '10')","(60, '5')","(220, '12')","(39, '3')","(156, '11')","(62, '5')","(11, '1')","(110, '10')"
18,"(84, '8')","(195, '12')","(103, '9')","(140, '11')","(46, '4')","(53, '5')","(44, '3')","(139, '11')","(59, '5')","(192, '12')","(81, '7')","(13, '1')"
19,"(28, '3')","(126, '11')","(4, '1')","(73, '7')","(107, '10')","(165, '12')","(58, '5')","(200, '12')","(49, '4')","(43, '3')","(74, '7')","(151, '11')"
20,"(190, '12')","(5, '1')","(99, '9')","(136, '11')","(23, '3')","(109, '10')","(128, '11')","(67, '6')","(61, '5')","(163, '12')","(47, '4')","(75, '7')"
21,"(9, '1')","(37, '3')","(65, '5')","(111, '10')","(141, '11')","(182, '12')","(54, '5')","(48, '4')","(29, '3')","(20, '2')","(166, '12')","(127, '11')"
