idx,seq1_1,seq1_2,seq1_3,seq1_4,seq1_5,seq1_6,seq2_1,seq2_2,seq2_3,seq2_4,seq2_5,seq2_6
1,"(206, '12')","(28, '03')","(74, '06')","(58, '05')","(84, '07')","(115, '10')","(161, '11')","(186, '12')","(104, '09')","(54, '04')","(128, '10')","(60, '05')"
2,"(7, '01')","(96, '08')","(37, '03')","(189, '12')","(112, '09')","(118, '10')","(52, '04')","(65, '05')","(13, '01')","(108, '09')","(236, '12')","(88, '07')"
3,"(1, '01')","(70, '05')","(203, '12')","(26, '03')","(163, '11')","(85, '07')","(68, '05')","(175, '12')","(5, '01')","(75, '07')","(33, '03')","(92, '08')"
4,"(183, '12')","(11, '01')","(44, '03')","(155, '11')","(50, '04')","(80, '07')","(138, '11')","(117, '10')","(181, '12')","(86, '07')","(43, '03')","(17, '01')"
5,"(209, '12')","(69, '05')","(121, '10')","(146, '11')","(79, '07')","(110, '09')","(129, '10')","(218, '12')","(22, '02')","(39, '03')","(152, '11')","(90, '08')"
6,"(224, '12')","(64, '05')","(133, '11')","(99, '09')","(45, '03')","(124, '10')","(27, '03')","(158, '11')","(212, '12')","(4, '01')","(72, '06')","(97, '09')"
7,"(122, '10')","(82, '07')","(106, '09')","(169, '11')","(232, '12')","(59, '05')","(31, '03')","(177, '12')","(140, '11')","(91, '08')","(102, '09')","(8, '01')"
8,"(219, '12')","(73, '06')","(55, '05')","(154, '11')","(38, '03')","(81, '07')","(94, '08')","(174, '12')","(147, '11')","(78, '07')","(3, '01')","(105, '09')"
9,"(98, '09')","(201, '12')","(67, '05')","(87, '07')","(159, '11')","(9, '01')","(19, '01')","(150, '11')","(188, '12')","(23, '02')","(40, '03')","(126, '10')"
10,"(116, '10')","(170, '12')","(71, '05')","(157, '11')","(36, '03')","(49, '04')","(173, '12')","(48, '03')","(168, '11')","(89, '08')","(103, '09')","(114, '10')"
11,"(141, '11')","(109, '09')","(180, '12')","(119, '10')","(61, '05')","(83, '07')","(95, '08')","(235, '12')","(56, '05')","(148, '11')","(113, '09')","(2, '01')"
12,"(208, '12')","(130, '10')","(101, '09')","(63, '05')","(136, '11')","(24, '02')","(12, '01')","(62, '05')","(215, '12')","(32, '03')","(125, '10')","(137, '11')"
13,"(120, '10')","(142, '11')","(231, '12')","(66, '05')","(16, '01')","(51, '04')","(176, '12')","(93, '08')","(46, '03')","(15, '01')","(167, '11')","(57, '05')"
14,"(20, '02')","(227, '12')","(42, '03')","(134, '11')","(18, '01')","(77, '07')","(123, '10')","(10, '01')","(196, '12')","(47, '03')","(143, '11')","(107, '09')"
15,"(34, '03')","(53, '04')","(127, '10')","(214, '12')","(14, '01')","(21, '02')","(185, '12')","(149, '11')","(29, '03')","(100, '09')","(76, '07')","(6, '01')"
